user,gender,dob,age,bmi,currentlocation,currentcity,currentcountry,sweats,coldhf,exercise,height_cm,weight_kg,genscore,agescore,bmiscore,citymorningscore,cityafternoonscore,citynightscore,sweatscore,coldhfscore,exercisescore,mymorningtemp,myafternoontemp,mynighttemp
BO1610Lx,F,1983-07-18,39,healthy,"Dakar, Senegal",Dakar,Senegal,N,N,A couple of times per week,162.0,60.4,-2,0,0,33.0,34.0,31.0,0,0,0,31.0,32.0,29.0
AQ0798hV,F,2000-09-07,21,healthy,"Shanghai, China",Shanghai,China,N,N,Once per week,176.0,62.0,-2,0,0,16.0,17.0,15.0,0,0,0,14.0,15.0,13.0
Nb3768lS,F,2000-01-08,22,healthy,"Tokyo, Japan",Tokyo,Japan,N,N,1 or 2 times per month,173.0,71.8,-2,0,0,13.0,14.0,12.0,0,0,0,11.0,12.0,10.0
ml5509CX,F,1995-07-21,27,healthy,"Cusco, Peru",Cusco,Peru,Y,N,Every day,175.0,58.2,-2,0,0,8.0,9.0,8.0,1,0,1,8.0,9.0,8.0
dg8469ck,F,2000-02-16,22,underweight,"Ibadan, Nigeria",Ibadan,Nigeria,N,N,A couple of times per week,175.0,49.0,-2,0,-1,-1.0,0.0,-3.0,0,0,0,-4.0,-3.0,-6.0
WH1770xh,F,2005-07-02,17,healthy,"Mogadishu, Somalia",Mogadishu,Somalia,N,N,Never,173.0,68.8,-2,0,0,12.0,15.0,13.0,0,0,0,10.0,13.0,11.0
Bh4136fo,F,2005-07-08,17,healthy,"Douala, Cameroon",Douala,Cameroon,N,Y,Every other day,173.0,56.9,-2,0,0,32.0,34.0,32.0,0,-2,1,29.0,31.0,29.0
oq2800WO,F,2006-06-20,16,healthy,"Hanoi, Vietnam",Hanoi,Vietnam,Y,N,Every other day,175.0,67.4,-2,0,0,7.0,11.0,9.0,1,0,1,7.0,11.0,9.0
XH8497lF,F,1987-01-02,35,healthy,"Honolulu, United States",Honolulu,United States,N,N,1 or 2 times per month,172.0,88.8,-2,0,0,1.0,3.0,1.0,0,0,0,-1.0,1.0,-1.0
AB1017TB,F,1997-03-11,25,healthy,"Porto, Portugal",Porto,Portugal,N,Y,Never,172.0,68.0,-2,0,0,15.0,19.0,17.0,0,-2,0,11.0,15.0,13.0
rQ5299kv,F,2004-04-03,18,healthy,"Camayenne, Guinea",Camayenne,Guinea,Y,N,Never,172.0,71.0,-2,0,0,4.0,5.0,3.0,1,0,0,3.0,4.0,2.0
ZI1292BH,F,1987-05-17,35,healthy,"Dublin, Ireland",Dublin,Ireland,Y,N,A couple of times per week,173.0,62.9,-2,0,0,17.0,18.0,17.0,1,0,0,16.0,17.0,16.0
pJ4660oz,F,1992-06-14,30,underweight,"Amsterdam, Netherlands",Amsterdam,Netherlands,Y,Y,A couple of times per week,164.0,37.7,-2,0,-1,0.0,3.0,2.0,1,-2,0,-4.0,-1.0,-2.0
Za4895At,F,1992-11-14,29,healthy,"Ankara, Turkey",Ankara,Turkey,N,Y,Every day,172.0,76.9,-2,0,0,9.0,11.0,9.0,0,-2,1,6.0,8.0,6.0
kS7055nW,F,1991-03-03,31,healthy,"Brisbane, Australia",Brisbane,Australia,Y,N,Every day,168.0,70.6,-2,0,0,1.0,5.0,3.0,1,0,1,1.0,5.0,3.0
RN6720xw,F,1994-06-20,28,healthy,"Sucre, Bolivia",Sucre,Bolivia,Y,Y,Never,171.0,70.2,-2,0,0,5.0,6.0,4.0,1,-2,0,2.0,3.0,1.0
JQ9125Kc,F,2006-03-23,16,healthy,"Hong Kong, Hong Kong",Hong Kong,Hong Kong,N,Y,1 or 2 times per month,168.0,53.6,-2,0,0,17.0,20.0,18.0,0,-2,0,13.0,16.0,14.0
mW9854PO,F,2006-03-09,16,healthy,"Vancouver, Canada",Vancouver,Canada,Y,N,Once per week,173.0,56.9,-2,0,0,6.0,7.0,4.0,1,0,0,5.0,6.0,3.0
NQ1553Fl,F,2004-05-21,18,healthy,"Sydney, Australia",Sydney,Australia,Y,Y,A couple of times per week,169.0,105.7,-2,0,0,1.0,3.0,2.0,1,-2,0,-2.0,0.0,-1.0
cC7316pz,F,1987-02-15,35,healthy,"Rabat, Morocco",Rabat,Morocco,Y,N,A couple of times per week,165.0,51.7,-2,0,0,14.0,15.0,13.0,1,0,0,13.0,14.0,12.0
xo4542ki,F,1989-09-30,32,healthy,"Rome, Italy",Rome,Italy,Y,N,Every day,175.0,67.4,-2,0,0,17.0,18.0,16.0,1,0,1,17.0,18.0,16.0
hS8845SM,F,2005-01-16,17,healthy,"Milan, Italy",Milan,Italy,Y,Y,Every day,169.0,62.8,-2,0,0,31.0,34.0,31.0,1,-2,1,29.0,32.0,29.0
Qp5504KJ,F,2003-10-06,18,healthy,"Los Angeles, United States",Los Angeles,United States,N,Y,A couple of times per week,164.0,53.8,-2,0,0,27.0,31.0,29.0,0,-2,0,23.0,27.0,25.0
JE9300TA,F,1985-09-01,36,healthy,"Kolkata, India",Kolkata,India,Y,Y,A couple of times per week,172.0,68.0,-2,0,0,19.0,22.0,20.0,1,-2,0,16.0,19.0,17.0
aY7413SP,F,1995-04-21,27,healthy,"Addis Ababa, Ethiopia",Addis Ababa,Ethiopia,Y,N,A couple of times per week,158.0,52.4,-2,0,0,-3.0,0.0,-3.0,1,0,0,-4.0,-1.0,-4.0
