user,gender,dob,age,bmi,currentlocation,currentcity,currentcountry,sweats,coldhf,exercise,genscore,height_cm,weight_kg,agescore,bmiscore,sweatscore,coldhfscore,exercisescore,dob.1,height_cm.1,weight_kg.1
BO1610Lx,F,1983-07-18,39,healthy,"Dakar, Senegal",Dakar,Senegal,N,N,A couple of times per week,-2,162.0,60.4,0,0,0,0,0,1983-07-18,162.0,60.4
AQ0798hV,F,2000-09-07,21,healthy,"Shanghai, China",Shanghai,China,N,N,Once per week,-2,176.0,62.0,0,0,0,0,0,2000-09-07,176.0,62.0
Nb3768lS,F,2000-01-08,22,healthy,"Tokyo, Japan",Tokyo,Japan,N,N,1 or 2 times per month,-2,173.0,71.8,0,0,0,0,0,2000-01-08,173.0,71.8
ml5509CX,F,1995-07-21,27,healthy,"Cusco, Peru",Cusco,Peru,Y,N,Every day,-2,175.0,58.2,0,0,1,0,1,1995-07-21,175.0,58.2
dg8469ck,F,2000-02-16,22,underweight,"Ibadan, Nigeria",Ibadan,Nigeria,N,N,A couple of times per week,-2,175.0,49.0,0,-1,0,0,0,2000-02-16,175.0,49.0
WH1770xh,F,2005-07-02,17,healthy,"Mogadishu, Somalia",Mogadishu,Somalia,N,N,Never,-2,173.0,68.8,0,0,0,0,0,2005-07-02,173.0,68.8
Bh4136fo,F,2005-07-08,17,healthy,"Douala, Cameroon",Douala,Cameroon,N,Y,Every other day,-2,173.0,56.9,0,0,0,-2,1,2005-07-08,173.0,56.9
oq2800WO,F,2006-06-20,16,healthy,"Hanoi, Vietnam",Hanoi,Vietnam,Y,N,Every other day,-2,175.0,67.4,0,0,1,0,1,2006-06-20,175.0,67.4
XH8497lF,F,1987-01-02,35,healthy,"Honolulu, United States",Honolulu,United States,N,N,1 or 2 times per month,-2,172.0,88.8,0,0,0,0,0,1987-01-02,172.0,88.8
AB1017TB,F,1997-03-11,25,healthy,"Porto, Portugal",Porto,Portugal,N,Y,Never,-2,172.0,68.0,0,0,0,-2,0,1997-03-11,172.0,68.0
rQ5299kv,F,2004-04-03,18,healthy,"Camayenne, Guinea",Camayenne,Guinea,Y,N,Never,-2,172.0,71.0,0,0,1,0,0,2004-04-03,172.0,71.0
ZI1292BH,F,1987-05-17,35,healthy,"Dublin, Ireland",Dublin,Ireland,Y,N,A couple of times per week,-2,173.0,62.9,0,0,1,0,0,1987-05-17,173.0,62.9
pJ4660oz,F,1992-06-14,30,underweight,"Amsterdam, Netherlands",Amsterdam,Netherlands,Y,Y,A couple of times per week,-2,164.0,37.7,0,-1,1,-2,0,1992-06-14,164.0,37.7
Za4895At,F,1992-11-14,29,healthy,"Ankara, Turkey",Ankara,Turkey,N,Y,Every day,-2,172.0,76.9,0,0,0,-2,1,1992-11-14,172.0,76.9
