user,gender,dob,height_cm,weight_kg,currentlocation,sweats,coldhf,exercise
Ll8751gA,M,1998/02/27,182,72.9,"Ho Chi Minh City, Vietnam",Y,N,Once per week
bQ0948bX,M,1997/11/28,185,75.3,"Cairo, Egypt",Y,Y,Every other day
Vr4396QQ,M,1995/03/02,174,69.6,"Accra, Ghana",Y,Y,Once per week
ss9453mW,M,1998/12/27,183,77.0,"Busan, South Korea",N,N,Every other day
Nb5435cu,M,1987/08/03,180,71.3,"Rhodes, Greece",Y,N,Once per week
Rd7862MQ,M,1988/06/28,180,77.8,"Dar es Salaam, Tanzania",Y,Y,A couple of times per week
Sg2141vJ,M,1982/11/28,177,56.4,"Cali, Colombia",Y,N,Never
dZ5030qJ,M,1983/12/27,183,63.6,"Buenos Aires, Argentina",Y,Y,Once per week
bQ5554Mp,M,1982/08/14,170,83.8,"Karachi, Pakistan",Y,N,Once per week
eo5642Go,M,1986/12/30,179,73.7,"Brazzaville, DR Congo",Y,Y,A couple of times per week
oX2311ud,M,1989/11/08,185,71.9,"Chennai, India",Y,N,Every day
wV4969sm,M,2003/06/09,178,72.9,"Osaka, Japan",Y,Y,Every other day
Ew6567pN,M,1987/01/10,153,42.1,"Shenzhen, China",Y,Y,Every other day
LA3198lx,M,1988/02/17,172,59.2,"Soweto, South Africa",Y,Y,Every other day
Ls5654He,M,1988/03/08,184,81.3,"Otavalo, Ecuador",Y,Y,Every other day
Ci0133Yh,M,2002/05/18,181,52.4,"Brazzaville, DR Congo",Y,Y,A couple of times per week
XC2884Wc,M,1985/10/07,180,77.8,"Montevideo, Uruguay",N,Y,Once per week
on5905ux,M,1985/01/15,185,92.4,"Chattogram, Bangladesh",Y,Y,Once per week
Pp9053SM,M,1996/05/11,180,84.2,"Antananarivo, Madagascar",Y,Y,Every other day
ju0718Pv,M,1994/12/15,179,73.7,"Auckland, New Zealand",Y,Y,Every other day
AW5383Cu,M,1989/06/17,181,68.8,"Vienna, Austria",N,Y,Every other day
GI5619uC,M,1998/11/25,180,64.8,"Luanda, Angola",Y,Y,1 or 2 times per month
yH9970fU,M,2005/10/27,182,72.9,"London, United Kingdom",N,N,A couple of times per week
Wr0140zd,M,1989/02/04,181,62.2,"Saint Petersburg, Russia",Y,Y,A couple of times per week
Rv0521Gg,M,1994/03/30,180,61.6,"Paris, France",Y,Y,A couple of times per week
Tc5123Cb,M,1991/07/03,185,78.7,"Lahore, Pakistan",Y,Y,A couple of times per week
DQ9276jS,M,1999/02/07,172,76.9,"Auckland, New Zealand",N,Y,A couple of times per week
Iw9899NK,M,2000/10/09,181,65.5,"Abidjan, Ivory Coast",N,Y,Every other day
mk9246eR,M,1988/04/24,176,74.3,"Kano, Nigeria",Y,N,Every other day
Uz4869ll,M,2000/01/05,179,70.5,"Istanbul, Turkey",Y,Y,Every other day
rF7486sl,M,1987/07/04,181,78.6,"Addis Ababa, Ethiopia",Y,N,Once per week
mM6612iT,M,1991/10/30,185,82.1,"Orlando, United States",Y,N,Every other day
Zk5137qx,M,1995/08/06,184,81.3,"Rio de Janeiro, Brazil",N,Y,Never
AT6060TQ,M,1998/08/16,183,90.4,"Dhaka, Bangladesh",Y,Y,A couple of times per week
bY5350WH,M,1997/01/09,182,62.9,"Medellin, Colombia",Y,Y,A couple of times per week
St8524SN,M,1990/07/20,181,55.7,"Cancun, Mexico",Y,N,Once per week
jY0579MA,M,1988/09/14,177,84.6,"Nice, France",Y,N,A couple of times per week
Ix3264ui,M,2006/12/09,183,73.7,"Chennai, India",Y,N,A couple of times per week
kk7911jm,M,2005/02/12,179,89.7,"Munich, Germany",Y,Y,Every other day
td1040nO,M,1983/08/02,183,73.7,"Rome, Italy",N,Y,A couple of times per week
XC3675oT,M,2001/04/15,181,59.0,"Mexico City, Mexico",Y,N,A couple of times per week
Dk5463ZT,M,1985/01/28,177,59.5,"Perth, Australia",Y,N,Every day
gE3163Qe,M,1988/03/25,182,76.2,"Chennai, India",Y,Y,Once per week
xI1299CK,M,1994/02/28,185,75.3,"Copenhagen, Denmark",Y,Y,A couple of times per week
Nh0456tE,M,1984/10/26,178,63.4,"Beijing, China",N,Y,A couple of times per week
tr9220yI,M,1994/08/03,184,74.5,"Nairobi, Kenya",Y,N,Every other day
TN2198Jn,M,1990/02/12,180,90.7,"Arequipa, Peru",N,Y,Every other day
yR2664Bv,M,1997/12/30,178,88.7,"Addis Ababa, Ethiopia",N,N,Every day
po9898vi,M,2005/10/29,182,76.2,"Amsterdam, Netherlands",N,Y,A couple of times per week
Pw2048eT,M,1992/08/04,188,81.3,"Istanbul, Turkey",N,Y,A couple of times per week
OI7158HQ,M,1987/05/30,156,70.6,"Hanoi, Vietnam",Y,Y,A couple of times per week
